Law & Prop.Rights;Sound Money;Export trade freedom;Regulations;polity;Population total;Use of IMF credit (current USD) per capita;GDP per capita in USD;Gross tertiary education enrollment percent;Fuel exports (% of merchandise exports)
5.6;8.88;7.65;7.2;5;2975029;90.85424;3919.975474;46.580582;0.260616
4.02;9.31;7.17;7;8;6072233;41.46053;3921.720395;25.45447;3.223819
5.84;8.27;6.6;8.77;0;283279;90.285549;3933.234373;16.039721;0.000097
4.81;7.49;6.07;5.68;2;34261971;5.933196;3939.559939;22.28536;97.788882
6.54;9.49;6.83;6.21;10;1204621;17.768244;3957.512905;15.84492;0.043102
6.13;7.04;6.82;7.05;-1;66353572;2.016033;3962.750499;48.111591;4.26831
4.37;5.75;5.39;6.48;-4;1260435;73.517476;3981.858786;8.20971;82.950393
4.4;9.52;7.45;6.5;8;6089644;41.424917;3998.739499;25.924141;2.363326
5.62;8.15;7;7.19;3;23420751;7.73532;4004.557191;25.74227;9.623073
7.07;6.12;6.37;7.89;6;2115703;-0.000315;4011.301169;9.3296;0.479356
6.69;9.23;7.87;7.98;-3;5915000;44.971936;4026.76635;45.119511;0.577642
4.79;6.47;6.81;6.16;6;45489600;158.057666;4029.715504;78.99662;4.200171
4.76;9.75;8.44;6.86;9;3202511;26.133556;4038.456074;44.002331;0.681609
5.06;7.92;7.4;7.72;9;2051427;6.454044;4063.74594;34.78804;4.922223
6.73;8.67;9.04;7.17;9;1396985;-0.000477;4070.031904;56.351101;4.472457
5.48;8.67;7.92;6.14;10;3327770;-0.0002;4088.772541;39.264339;0.840413
5.36;9.73;7.25;6.38;9;2913021;44.411283;4094.358832;43.561531;17.973227
3.87;5.68;7.33;4.81;10;55441001;-0.000012;4094.938155;24.75772;5.829725
5.39;6.01;6.38;6.41;6;144067054;-0.000005;4102.372294;70.510437;54.687917
5.65;9.63;7.24;6.35;9;2927519;49.293958;4114.136545;33.106201;11.602414
5.6;8.42;7.77;7.03;10;3324096;-0.0002;4117.308853;42.390808;4.444773
